[INFO][2018-03-21 20:11:34.413636]No obj detected
[INFO][2018-03-21 20:11:40.989813]No obj detected
[INFO][2018-03-21 20:20:25.841151]No obj detected
[INFO][2018-03-21 20:21:15.920290]No obj detected
[INFO][2018-03-21 20:22:09.624543]No obj detected
[INFO][2018-03-21 21:22:42.701267]No obj detected
[INFO][2018-03-21 21:22:52.725841]No obj detected
[INFO][2018-03-21 21:41:53.917520]No obj detected
[INFO][2018-03-21 21:49:18.737506]No obj detected
[INFO][2018-03-21 21:50:08.729942]No obj detected
[INFO][2018-03-21 21:50:19.841003]No obj detected
[INFO][2018-03-21 21:50:24.056729]No obj detected
[INFO][2018-03-21 21:50:29.241693]No obj detected
[INFO][2018-03-22 14:28:33.728531][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:29:39.911701][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:30:49.271230][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:31:44.207092][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:31:50.529529][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:31:50.529635][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:31:58.248197][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:32:09.825157][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:32:23.561137][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:33:50.541623][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:34:05.237747][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:34:14.643851]No object detected
[INFO][2018-03-22 14:34:20.628761][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:36:40.093363][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:45:13.865682][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:46:27.199433][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:48:33.703448][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:52:33.604410][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:52:47.029901][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:53:04.461406][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:53:45.093505][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:53:56.101951][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:54:06.157075][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:54:16.516854][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:54:27.013135][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:54:32.789723][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:54:41.741473][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:56:48.117232][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:56:56.148040][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:57:04.459935][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:57:14.548378][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:57:19.580138][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:57:26.907942][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:57:31.259774][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:57:36.244185][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:57:39.738560][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:57:42.909548][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:57:44.945147][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:57:46.980788][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:57:49.016558][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:57:51.051952][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:57:53.087147][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 14:59:19.731676][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:00:28.893172][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:00:38.931712][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:00:55.004426][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:01:59.482661][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:02:09.911516][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:02:12.960364][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:02:14.151092][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:02:15.079266][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:02:15.607797][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:03:01.722936][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:03:12.556190][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:03:12.556346][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:03:17.636184][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:03:17.636312][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:03:22.579898][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:03:22.579996][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:03:27.467549][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:03:27.467649][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:03:41.473634][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:03:41.473827][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:04:27.106646][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:04:44.290251][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:04:52.018513][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:05:02.562237][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:05:13.571183][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:05:30.562067][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:07:44.624956][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:07:53.639991][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:08:35.217330][ Manual ]Contacted? (y/n)
[INFO][2018-03-22 15:08:42.081207][ Manual ]Contacted? (y/n)
